gameId,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redWins,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,redBaron,redFirstBaron
4667601010,Win,"[22, 76, 133, 111, 4]",2936,436,6,1.2,11,4,0,0,0,0,2,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[236, 84, 64, 89, 235]",2882,382,6,1.2,9,4,0,0,0,0,1,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666433276,Win,"[54, 432, 104, 61, 51]",2950,450,6,1.2,13,4,0,0,1,0,5,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[119, 3, 412, 5, 24]",3353,853,6,1.2,6,4,1,1,0,1,3,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666262683,Win,"[517, 40, 876, 24, 81]",3314,814,6,1.2,4,3,1,1,0,1,3,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[22, 120, 555, 38, 8]",2696,196,5,1.0,4,0,0,0,1,0,3,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666178940,Win,"[432, 62, 22, 5, 517]",2818,318,6,1.2,6,4,0,0,1,0,5,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[61, 875, 81, 350, 2]",3319,819,6,1.2,7,4,1,1,0,0,6,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666252180,Win,"[201, 76, 84, 22, 875]",2873,373,5,1.0,14,0,0,0,0,0,1,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[55, 64, 44, 164, 429]",2833,333,6,1.2,6,4,0,0,0,0,3,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666144894,Win,"[58, 5, 517, 29, 497]",2922,422,6,1.2,12,4,0,0,0,0,2,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[64, 69, 875, 202, 133]",2917,417,7,1.4,12,4,0,0,0,0,2,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4665412578,Fail,"[157, 84, 37, 360, 104]",2738,238,6,1.2,1,4,0,0,0,0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[81, 53, 74, 15, 56]",3057,557,6,1.2,13,8,0,0,0,0,1,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4665086284,Win,"[517, 54, 555, 4, 111]",9721,2121,20,4.0,8,0,1,3,4,11,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[113, 22, 122, 236, 53]",9901,2801,20,4.0,9,0,0,4,3,9,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4664899276,Win,"[29, 497, 876, 114, 39]",2940,440,6,1.2,13,4,0,0,0,0,1,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[40, 84, 119, 164, 28]",2975,475,6,1.2,13,4,0,0,0,0,2,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4664639258,Win,"[117, 164, 104, 7, 22]",3022,522,6,1.2,14,4,0,0,0,0,4,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[421, 69, 84, 236, 267]",2936,436,6,1.2,10,5,0,0,0,0,4,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
