gameId,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redWins,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,redBaron,redFirstBaron
4667601010,TBD,TBD,40010,3125,55,11.0,432,105,0,26,15,33,85,15,1,0,['TOP_LANE'],4,1,2,1,0,0,['EARTH_DRAGON'],1,1,0,0,TBD,TBD,30033,853,48,9.6,423,79,1,15,26,19,44,13,0,0,[],0,0,0,0,0,1,['WATER_DRAGON'],1,0,0,0
4666433276,TBD,TBD,41271,3256,59,11.8,536,136,0,16,24,27,112,18,0,0,[],2,1,1,0,0,0,[],0,2,0,0,TBD,TBD,48105,4894,63,12.6,554,146,1,24,16,41,115,19,1,0,['BOT_LANE'],3,1,1,1,0,1,"['FIRE_DRAGON', 'EARTH_DRAGON', 'AIR_DRAGON']",3,0,1,1
4666262683,TBD,TBD,36454,9526,56,11.2,466,135,1,14,11,18,40,13,1,1,['MID_LANE'],6,5,0,1,1,1,['WATER_DRAGON'],1,2,0,0,TBD,TBD,31156,1673,53,10.6,472,91,0,11,14,10,38,13,0,0,[],1,0,1,0,0,0,[],0,0,0,0
4666178940,TBD,TBD,36831,2248,52,10.4,386,87,0,29,8,29,68,10,1,0,['MID_LANE'],3,1,1,1,0,1,['EARTH_DRAGON'],1,1,0,0,TBD,TBD,24705,4580,45,9.0,317,68,1,8,29,5,60,11,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666252180,TBD,TBD,43502,2302,63,12.6,516,183,1,22,10,47,83,25,0,0,[],4,2,0,2,0,0,"['AIR_DRAGON', 'EARTH_DRAGON']",2,1,0,0,TBD,TBD,36025,1462,56,11.2,491,111,0,10,22,27,66,18,1,0,['TOP_LANE'],2,0,2,0,0,1,['FIRE_DRAGON'],1,1,0,0
4666144894,TBD,TBD,41720,1648,61,12.2,567,116,1,21,20,29,54,39,0,0,[],1,1,0,0,0,1,"['FIRE_DRAGON', 'WATER_DRAGON']",2,1,0,0,TBD,TBD,42942,2758,60,12.0,574,136,0,20,21,37,86,21,1,0,['BOT_LANE'],3,0,1,2,0,0,['AIR_DRAGON'],1,1,0,0
4665412578,TBD,TBD,39590,1495,60,12.0,442,108,0,21,34,13,46,17,0,0,[],1,0,1,0,0,0,[],0,1,0,0,TBD,TBD,47137,4003,67,13.4,461,115,1,34,21,51,47,12,1,0,['BOT_LANE'],5,2,1,2,0,1,"['EARTH_DRAGON', 'FIRE_DRAGON', 'AIR_DRAGON']",3,1,1,1
4665086284,TBD,TBD,57490,5940,79,15.8,192,0,1,43,34,106,0,0,1,1,['MID_LANE'],3,3,0,0,2,0,[],0,0,0,0,TBD,TBD,50902,52,73,14.6,182,0,0,34,43,90,0,0,0,0,[],3,3,0,0,1,0,[],0,0,0,0
4664899276,TBD,TBD,46052,3158,63,12.6,625,148,0,20,17,26,58,29,1,0,['MID_LANE'],4,2,0,2,0,1,"['FIRE_DRAGON', 'WATER_DRAGON']",2,2,0,0,TBD,TBD,39792,3359,60,12.0,493,135,1,17,20,27,63,15,0,0,[],3,0,2,1,0,0,[],0,0,0,0
4664639258,TBD,TBD,36180,812,52,10.4,379,103,1,25,10,26,38,10,1,0,['TOP_LANE'],4,1,1,2,0,0,['WATER_DRAGON'],1,1,0,0,TBD,TBD,26547,905,45,9.0,377,66,0,10,25,4,35,7,0,0,[],1,0,1,0,0,1,['FIRE_DRAGON'],1,0,0,0
4664126988,TBD,TBD,24916,2201,42,8.4,315,82,0,5,28,5,27,5,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,40743,5468,53,10.6,393,102,1,28,5,39,27,5,1,1,['TOP_LANE'],8,5,2,1,1,1,"['WATER_DRAGON', 'FIRE_DRAGON']",2,1,0,0
4664071468,TBD,TBD,40645,3167,58,11.6,572,127,1,16,17,13,46,26,1,0,['TOP_LANE'],3,1,1,1,0,0,[],0,2,0,0,TBD,TBD,41885,1731,62,12.4,526,168,0,17,16,21,87,16,0,0,[],1,1,0,0,0,1,"['FIRE_DRAGON', 'AIR_DRAGON', 'EARTH_DRAGON']",3,0,1,1
4663925652,TBD,TBD,40851,3338,60,12.0,575,125,0,16,23,26,57,27,0,0,[],0,0,0,0,0,0,['EARTH_DRAGON'],1,0,0,0,TBD,TBD,46574,6369,62,12.4,616,159,1,23,16,28,77,25,1,0,['TOP_LANE'],5,2,1,2,0,1,['AIR_DRAGON'],1,2,0,0
4663033252,TBD,TBD,26160,2610,43,8.6,341,73,1,9,31,12,29,11,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,38381,4848,52,10.4,410,115,0,31,9,40,59,8,1,0,['BOT_LANE'],3,2,0,1,0,1,['AIR_DRAGON'],1,1,0,0
4662765213,TBD,TBD,37622,3691,59,11.8,555,123,0,10,16,19,58,21,0,0,[],2,0,1,1,0,1,['WATER_DRAGON'],1,0,0,0,TBD,TBD,43992,5025,60,12.0,614,149,1,16,10,16,46,20,1,0,['TOP_LANE'],6,2,2,2,0,0,"['FIRE_DRAGON', 'EARTH_DRAGON']",2,2,0,0
4662570948,TBD,TBD,47010,3732,63,12.6,524,190,0,31,10,27,80,33,1,0,['BOT_LANE'],4,2,1,1,0,0,['AIR_DRAGON'],1,2,0,0,TBD,TBD,36399,2336,54,10.8,564,94,1,10,31,9,61,25,0,0,[],3,1,0,2,0,1,"['WATER_DRAGON', 'FIRE_DRAGON']",2,0,0,0
4662462856,TBD,TBD,41875,2717,60,12.0,527,110,1,20,20,33,61,22,1,0,['TOP_LANE'],2,1,1,0,0,0,['EARTH_DRAGON'],1,1,0,0,TBD,TBD,43519,2094,62,12.4,544,158,0,20,20,35,51,14,0,0,[],4,1,1,2,0,1,"['AIR_DRAGON', 'WATER_DRAGON']",2,1,0,0
4658198356,TBD,TBD,51536,9516,77,15.4,196,0,1,38,24,98,0,0,0,1,[],1,1,0,0,1,0,[],0,0,0,0,TBD,TBD,46936,2886,72,14.4,180,0,0,24,38,64,0,0,1,0,['MID_LANE'],2,2,0,0,0,0,[],0,0,0,0
4658185836,TBD,TBD,36795,2660,60,12.0,116,0,0,31,22,83,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,36537,5382,59,11.8,127,0,1,22,31,48,25,0,1,0,['MID_LANE'],1,1,0,0,0,0,[],0,0,0,0
4658108047,TBD,TBD,34444,1673,55,11.0,368,61,0,16,32,25,41,13,0,0,[],1,0,1,0,0,0,[],0,0,0,0,TBD,TBD,45844,4295,60,12.0,447,114,1,32,16,44,71,16,1,0,['BOT_LANE'],5,2,1,2,0,1,"['FIRE_DRAGON', 'AIR_DRAGON']",2,1,0,0
4658028049,TBD,TBD,61887,3057,87,17.4,218,0,0,47,48,126,75,0,0,0,[],2,2,0,0,1,0,[],0,0,0,0,TBD,TBD,64250,8505,89,17.8,231,0,1,48,47,115,0,0,1,1,['MID_LANE'],4,4,0,0,2,0,[],0,0,0,0
4658052759,TBD,TBD,57870,4607,82,16.4,208,0,1,37,29,112,37,0,1,1,['MID_LANE'],4,4,0,0,2,0,[],0,0,0,0,TBD,TBD,52333,5152,78,15.6,208,0,0,29,37,68,0,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4657443358,TBD,TBD,69527,5292,90,18.0,262,0,1,63,47,148,174,0,1,1,['MID_LANE'],4,4,0,0,1,0,[],0,0,0,0,TBD,TBD,63602,2452,89,17.8,215,0,0,47,63,94,0,0,0,0,[],1,1,0,0,1,0,[],0,0,0,0
4657318146,TBD,TBD,35720,6675,58,11.6,124,0,0,14,30,24,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,41966,12716,67,13.4,134,0,1,30,14,92,0,0,1,1,['MID_LANE'],2,2,0,0,1,0,[],0,0,0,0
4655481115,TBD,TBD,70454,10304,90,18.0,278,0,0,51,51,133,77,0,0,0,[],4,4,0,0,1,0,[],0,0,0,0,TBD,TBD,68165,4215,90,18.0,247,0,1,51,51,153,0,1,1,1,['MID_LANE'],3,3,0,0,2,0,[],0,0,0,0
4655377113,TBD,TBD,60294,11726,86,17.2,231,0,0,46,39,125,0,0,0,0,[],4,4,0,0,1,0,[],0,0,0,0,TBD,TBD,56951,-374,80,16.0,217,0,1,39,46,69,0,0,1,1,['MID_LANE'],3,3,0,0,1,0,[],0,0,0,0
4655113715,TBD,TBD,67471,9611,90,18.0,267,0,0,48,45,98,0,0,0,0,[],3,3,0,0,1,0,[],0,0,0,0,TBD,TBD,64102,1505,88,17.6,267,0,1,45,48,90,0,0,1,1,['MID_LANE'],3,3,0,0,1,0,[],0,0,0,0
4654857372,TBD,TBD,63852,2046,90,18.0,248,0,1,48,48,103,44,0,0,0,[],1,1,0,0,0,0,[],0,0,0,0,TBD,TBD,66620,4645,90,18.0,253,0,0,48,48,111,14,1,1,1,['MID_LANE'],4,4,0,0,2,0,[],0,0,0,0
4654862456,TBD,TBD,47560,5000,72,14.4,192,0,0,28,43,51,26,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,52991,5506,79,15.8,176,0,1,43,28,122,26,0,1,1,['MID_LANE'],4,4,0,0,2,0,[],0,0,0,0
4654676553,TBD,TBD,66470,6275,89,17.8,254,0,1,37,54,78,64,0,0,0,[],2,2,0,0,1,0,[],0,0,0,0,TBD,TBD,68188,3221,90,18.0,258,0,0,54,37,148,64,0,1,1,['MID_LANE'],3,3,0,0,2,0,[],0,0,0,0
4654741443,TBD,TBD,54525,2317,80,16.0,208,0,0,41,41,110,0,2,1,0,['MID_LANE'],1,1,0,0,0,0,[],0,0,0,0,TBD,TBD,58315,6797,81,16.2,220,0,1,41,41,109,31,0,0,1,[],4,4,0,0,1,0,[],0,0,0,0
4654635276,TBD,TBD,66999,3556,90,18.0,272,0,1,49,50,93,0,0,1,1,['MID_LANE'],2,2,0,0,1,0,[],0,0,0,0,TBD,TBD,68650,9485,90,18.0,290,0,0,50,49,124,324,0,0,0,[],2,2,0,0,2,0,[],0,0,0,0
4652667388,TBD,TBD,68382,3569,89,17.8,281,0,1,44,46,95,10,0,0,0,[],4,4,0,0,1,0,[],0,0,0,0,TBD,TBD,66200,4054,89,17.8,236,0,0,46,44,110,0,0,1,1,['MID_LANE'],2,2,0,0,2,0,[],0,0,0,0
4651942238,TBD,TBD,66652,5948,86,17.2,302,62,0,44,51,62,29,4,1,0,['MID_LANE'],4,3,0,1,0,0,[],0,1,0,0,TBD,TBD,70373,5720,87,17.4,344,108,1,51,44,51,25,5,0,1,[],5,1,2,2,1,1,['FIRE_DRAGON'],1,0,0,0
4651715387,TBD,TBD,63956,6687,88,17.6,368,40,0,37,24,60,29,139,0,1,[],8,4,2,2,2,1,['AIR_DRAGON'],1,0,0,0,TBD,TBD,58405,4843,83,16.6,453,29,1,24,37,25,243,4,1,0,['BOT_LANE'],7,3,2,2,1,0,[],0,1,0,0
