gameId,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redWins,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,redBaron,redFirstBaron
4644246143,TBD,TBD,31091,3831,46,9.2,405,69,1,13,4,17,29,10,1,1,['TOP_LANE'],5,4,1,0,1,1,['FIRE_DRAGON'],1,1,0,0,TBD,TBD,20002,3877,38,7.6,261,62,0,4,13,6,33,7,0,0,[],1,0,0,1,0,0,[],0,0,0,0
4644025682,TBD,TBD,41343,4254,60,12.0,572,157,1,15,14,20,48,19,0,0,[],3,1,1,1,0,1,"['FIRE_DRAGON', 'EARTH_DRAGON', 'WATER_DRAGON']",3,1,0,0,TBD,TBD,41906,3318,63,12.6,551,97,0,14,15,19,60,19,1,0,['BOT_LANE'],4,1,1,2,0,0,[],0,1,1,0
4641792572,TBD,TBD,42623,3015,61,12.2,528,140,0,20,8,32,43,18,0,1,[],6,4,1,1,1,1,"['EARTH_DRAGON', 'WATER_DRAGON']",2,0,0,0,TBD,TBD,35167,3453,53,10.6,500,126,1,8,20,2,54,8,1,0,['TOP_LANE'],2,1,1,0,0,0,['FIRE_DRAGON'],1,2,0,0
4640729971,TBD,TBD,40413,4503,54,10.8,398,157,1,29,7,29,29,7,1,0,['BOT_LANE'],6,3,2,1,0,1,['FIRE_DRAGON'],1,1,0,0,TBD,TBD,22465,2195,41,8.2,213,42,0,7,29,12,32,6,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4638513516,TBD,TBD,45572,5655,62,12.4,496,177,0,26,17,34,85,22,1,0,['TOP_LANE'],2,1,1,0,0,0,"['EARTH_DRAGON', 'FIRE_DRAGON']",2,2,0,0,TBD,TBD,39028,1426,56,11.2,519,113,1,17,26,20,50,23,0,0,[],2,0,0,2,0,1,['AIR_DRAGON'],1,0,0,0
4638198000,TBD,TBD,40681,4666,59,11.8,566,112,0,15,13,28,76,24,1,0,['BOT_LANE'],1,0,0,1,0,0,['WATER_DRAGON'],1,1,0,0,TBD,TBD,40612,1799,58,11.6,550,172,1,13,15,18,58,22,0,0,[],5,2,2,1,0,1,"['FIRE_DRAGON', 'EARTH_DRAGON']",2,1,0,0
4637300082,TBD,TBD,54013,13078,65,13.0,531,139,1,38,22,59,53,25,1,0,['TOP_LANE'],8,3,2,3,1,0,[],0,2,0,0,TBD,TBD,42720,2445,59,11.8,560,87,0,22,38,23,66,24,0,1,[],5,3,1,1,1,1,['EARTH_DRAGON'],1,0,0,0
4636942829,TBD,TBD,42150,1668,64,12.8,494,85,0,27,31,37,111,22,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,49307,1025,63,12.6,531,153,1,31,27,35,162,18,1,0,['TOP_LANE'],4,1,1,2,0,1,"['FIRE_DRAGON', 'WATER_DRAGON']",2,2,0,0
4636459991,TBD,TBD,41672,1117,58,11.6,504,94,0,21,22,32,58,21,1,0,['TOP_LANE'],2,0,1,1,0,0,['AIR_DRAGON'],1,0,0,0,TBD,TBD,42903,2223,62,12.4,522,162,1,22,21,37,44,20,0,0,[],4,1,1,2,0,1,"['FIRE_DRAGON', 'WATER_DRAGON']",2,2,0,0
4635210235,TBD,TBD,38705,1685,58,11.6,467,138,1,15,27,19,52,19,0,0,[],1,0,0,1,0,0,[],0,0,0,0,TBD,TBD,44506,5016,63,12.6,547,136,0,27,15,36,95,19,1,0,['MID_LANE'],4,2,1,1,0,1,"['WATER_DRAGON', 'EARTH_DRAGON']",2,1,0,0
4635124283,TBD,TBD,38582,4399,58,11.6,493,117,0,22,6,23,84,21,0,1,[],2,1,1,0,1,0,['AIR_DRAGON'],1,1,0,0,TBD,TBD,27551,1773,47,9.4,403,96,1,6,22,9,128,11,1,0,['MID_LANE'],3,2,0,1,0,1,['FIRE_DRAGON'],1,0,0,0
4662837348,TBD,TBD,21273,2353,40,8.0,251,75,0,8,17,8,21,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,33273,5983,48,9.6,347,105,1,17,8,13,49,8,1,1,['BOT_LANE'],9,5,1,3,2,1,['EARTH_DRAGON'],1,1,0,0
4661964402,TBD,TBD,37998,3538,60,12.0,434,170,0,17,12,24,117,23,0,0,[],2,0,2,0,0,1,['EARTH_DRAGON'],1,2,0,0,TBD,TBD,39657,2224,58,11.6,526,120,1,12,17,21,59,13,1,0,['BOT_LANE'],4,1,2,1,0,0,"['FIRE_DRAGON', 'AIR_DRAGON']",2,0,0,0
4661946544,TBD,TBD,46250,4342,62,12.4,450,202,1,28,9,49,112,21,1,1,['BOT_LANE'],5,3,1,1,1,0,['AIR_DRAGON'],1,2,0,0,TBD,TBD,32433,2880,57,11.4,495,84,0,9,28,12,73,20,0,0,[],1,0,0,1,0,1,"['EARTH_DRAGON', 'FIRE_DRAGON']",2,0,0,0
4654298470,TBD,TBD,49865,7447,60,12.0,566,129,0,31,18,38,40,18,0,0,[],2,1,0,1,0,0,['FIRE_DRAGON'],1,0,0,0,TBD,TBD,36429,654,54,10.8,430,94,1,18,31,30,98,9,1,0,['TOP_LANE'],5,2,1,2,0,1,['WATER_DRAGON'],1,2,0,0
4653120490,TBD,TBD,47594,3350,63,12.6,579,178,1,25,19,42,114,32,1,0,['BOT_LANE'],4,0,1,3,0,1,"['FIRE_DRAGON', 'EARTH_DRAGON']",2,1,0,0,TBD,TBD,41480,2846,61,12.2,553,113,0,19,25,19,61,28,0,0,[],3,1,1,1,0,0,[],0,1,0,0
4652928953,TBD,TBD,47244,6237,63,12.6,529,183,0,26,14,35,38,13,0,0,[],6,2,2,2,0,1,"['WATER_DRAGON', 'EARTH_DRAGON']",2,1,0,0,TBD,TBD,37328,2388,58,11.6,498,108,1,14,26,20,144,12,1,0,['TOP_LANE'],1,0,1,0,0,0,['FIRE_DRAGON'],1,1,0,0
4646562222,TBD,TBD,43240,2762,61,12.2,539,134,1,16,11,28,92,35,0,0,[],5,2,1,2,0,0,['FIRE_DRAGON'],1,0,1,0,TBD,TBD,38055,3720,56,11.2,462,134,0,11,16,22,79,19,1,0,['BOT_LANE'],6,1,2,3,0,1,['EARTH_DRAGON'],1,2,0,0
4646207591,TBD,TBD,46799,5524,61,12.2,476,155,0,32,13,37,45,17,1,0,['TOP_LANE'],6,4,1,1,1,1,"['EARTH_DRAGON', 'AIR_DRAGON']",2,2,0,0,TBD,TBD,36411,2411,54,10.8,420,75,1,13,32,31,48,14,0,1,[],3,1,0,2,1,0,[],0,0,0,0
4638378791,TBD,TBD,48190,5857,64,12.8,612,157,1,25,20,27,101,19,1,0,['MID_LANE'],4,1,1,2,0,0,['AIR_DRAGON'],1,2,0,0,TBD,TBD,42496,4728,58,11.6,536,99,0,20,25,30,55,15,0,0,[],4,2,1,1,0,1,['WATER_DRAGON'],1,0,0,0
4638373062,TBD,TBD,42165,4027,60,12.0,516,132,0,21,12,48,103,26,0,0,[],1,1,0,0,0,1,"['AIR_DRAGON', 'FIRE_DRAGON', 'WATER_DRAGON']",3,0,0,0,TBD,TBD,39567,3052,58,11.6,510,160,1,12,21,17,154,24,1,0,['TOP_LANE'],4,1,2,1,0,0,[],0,2,0,0
4638246967,TBD,TBD,38272,2629,51,10.2,400,111,1,25,11,32,116,14,1,1,['TOP_LANE'],5,3,1,1,1,0,['WATER_DRAGON'],1,1,0,0,TBD,TBD,27525,880,46,9.2,356,61,0,11,25,19,82,13,0,0,[],1,0,1,0,0,1,['FIRE_DRAGON'],1,0,0,0
4636759537,TBD,TBD,42566,1952,61,12.2,518,152,1,20,18,28,39,22,1,0,['TOP_LANE'],2,1,1,0,0,0,['FIRE_DRAGON'],1,2,0,0,TBD,TBD,41203,1808,62,12.4,511,126,0,18,20,29,56,11,0,0,[],4,1,1,2,0,1,"['EARTH_DRAGON', 'AIR_DRAGON']",2,0,1,0
4635065470,TBD,TBD,37493,1860,55,11.0,432,71,1,17,46,24,40,12,0,0,[],1,0,1,0,0,0,[],0,0,0,0,TBD,TBD,54114,7604,65,13.0,539,153,0,46,17,70,89,21,1,1,['MID_LANE'],8,5,1,2,1,1,"['AIR_DRAGON', 'EARTH_DRAGON', 'FIRE_DRAGON']",3,2,0,0
4632943528,TBD,TBD,41868,5435,60,12.0,469,120,1,31,12,36,44,19,0,1,[],4,3,0,1,1,1,"['FIRE_DRAGON', 'EARTH_DRAGON']",2,1,0,0,TBD,TBD,32718,1583,51,10.2,433,94,0,12,31,12,38,19,1,0,['BOT_LANE'],2,0,1,1,0,0,[],0,1,0,0
4609516045,TBD,TBD,44475,4465,61,12.2,506,127,1,25,25,46,151,16,1,0,['MID_LANE'],3,1,1,1,0,0,"['EARTH_DRAGON', 'FIRE_DRAGON']",2,0,0,0,TBD,TBD,43902,3896,61,12.2,528,163,0,25,25,34,45,24,0,0,[],1,0,1,0,0,1,['WATER_DRAGON'],1,2,0,0
4607489353,TBD,TBD,47923,2969,63,12.6,556,166,1,28,10,37,51,20,1,0,['MID_LANE'],4,2,1,1,0,0,"['AIR_DRAGON', 'EARTH_DRAGON']",2,2,0,0,TBD,TBD,37464,2261,59,11.8,554,115,0,10,28,10,56,14,0,0,[],2,0,1,1,0,1,['WATER_DRAGON'],1,0,0,0
4607530458,TBD,TBD,40146,5586,54,10.8,420,136,0,25,12,31,41,11,0,1,[],6,5,1,0,1,1,"['FIRE_DRAGON', 'WATER_DRAGON']",2,1,0,0,TBD,TBD,29143,898,49,9.8,402,61,1,12,25,11,43,9,1,0,['BOT_LANE'],1,0,0,1,0,0,[],0,1,0,0
4607137143,TBD,TBD,31941,3441,55,11.0,509,115,1,8,18,6,41,9,0,0,[],1,0,1,0,0,1,['WATER_DRAGON'],1,0,0,0,TBD,TBD,37811,3686,56,11.2,478,152,0,18,8,23,40,12,1,0,['BOT_LANE'],3,1,0,2,0,0,"['FIRE_DRAGON', 'EARTH_DRAGON']",2,2,0,0
