gameId,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redWins,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,redBaron,redFirstBaron
4610600010,TBD,TBD,13750,3175,29,5.8,151,44,1,6,8,11,15,3,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,14605,2823,32,6.4,182,40,0,8,6,5,23,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4605798082,TBD,TBD,11357,3082,27,5.4,139,25,1,3,2,1,7,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,10645,2740,29,5.8,135,34,0,2,3,1,8,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4605737050,TBD,TBD,14755,3605,31,6.2,122,4,1,15,1,8,1,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,7789,1239,24,4.8,52,0,0,1,15,0,254,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4605815155,TBD,TBD,17263,7263,30,6.0,132,0,1,19,2,11,4,0,1,0,['BOT_LANE'],1,0,0,1,0,0,[],0,0,0,0,TBD,TBD,8767,2082,22,4.4,71,0,0,2,19,1,129,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4605734308,TBD,TBD,17241,5766,31,6.2,182,0,1,19,3,14,5,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,9587,1452,24,4.8,93,0,0,3,19,1,58,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4603234237,TBD,TBD,12307,4622,29,5.8,113,0,1,9,5,5,4,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,9441,1191,25,5.0,66,0,0,5,9,1,257,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4603178779,TBD,TBD,13290,3095,28,5.6,108,0,1,12,4,10,5,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,9737,2487,25,5.0,87,0,0,4,12,4,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4603114397,TBD,TBD,14173,6673,32,6.4,73,48,1,16,3,5,3,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,8538,1303,24,4.8,56,0,0,3,16,1,220,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4598255908,TBD,TBD,14459,2414,29,5.8,159,33,1,8,4,11,91,1,0,0,[],0,0,0,0,0,1,['EARTH_DRAGON'],1,0,0,0,TBD,TBD,12672,3422,31,6.2,161,44,0,4,8,5,10,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4595405645,TBD,TBD,16968,5428,28,5.6,121,0,0,19,7,14,3,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,10223,1203,23,4.6,56,0,1,7,19,3,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
