,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
0,1,"[22, 76, 133, 111, 4]",37647,5533,54,10.8,414,105,0,24,14,29,84,12,1,0,1,3,1,2,0,0,0,1,1,0,0,"[236, 84, 64, 89, 235]",29110,4260,48,9.6,418,79,1,14,24,19,41,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,"[54, 432, 104, 61, 51]",32730,3235,50,10.0,429,104,0,13,14,17,78,9,0,0,0,1,0,1,0,0,0,0,2,0,0,"[119, 3, 412, 5, 24]",32764,4734,47,9.4,434,95,1,14,13,21,82,12,1,0,3,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0
2,1,"[517, 40, 876, 24, 81]",30294,5146,50,10.0,436,131,1,8,10,5,39,12,1,0,2,2,1,0,1,0,1,1,1,0,0,"[22, 120, 555, 38, 8]",29146,4213,50,10.0,450,87,0,10,8,9,35,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,1,"[201, 76, 84, 22, 875]",31960,3330,54,10.8,419,136,1,14,6,30,59,15,0,0,0,1,0,0,1,0,0,1,0,0,0,"[55, 64, 44, 164, 429]",27377,1119,49,9.8,406,91,0,6,14,19,46,12,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
4,1,"[58, 5, 517, 29, 497]",31785,3319,52,10.4,441,81,1,16,15,18,39,25,0,0,0,1,1,0,0,0,1,2,1,0,0,"[64, 69, 875, 202, 133]",33570,1650,52,10.4,478,96,0,15,16,26,59,15,1,0,3,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5,0,"[157, 84, 37, 360, 104]",32277,3497,52,10.4,366,76,0,18,21,10,32,10,0,0,0,1,0,1,0,0,0,0,1,0,0,"[81, 53, 74, 15, 56]",33562,3157,53,10.6,365,91,1,21,18,28,32,6,1,0,3,4,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0
6,1,"[517, 54, 555, 4, 111]",57490,5940,79,15.8,192,0,1,43,34,106,0,0,1,1,2,3,3,0,0,2,0,0,0,0,0,"[113, 22, 122, 236, 53]",50902,52,73,14.6,182,0,0,34,43,90,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,"[29, 497, 876, 114, 39]",33390,1995,52,10.4,485,105,0,13,10,17,38,25,1,0,2,2,1,0,1,0,1,1,1,0,0,"[40, 84, 119, 164, 28]",29241,5926,50,10.0,389,107,1,10,13,15,42,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,1,"[117, 164, 104, 7, 22]",36180,812,52,10.4,379,103,1,25,10,26,38,10,1,0,1,4,1,1,2,0,0,1,1,0,0,"[421, 69, 84, 236, 267]",26547,905,45,9.0,377,66,0,10,25,4,35,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
9,0,"[104, 360, 3, 126, 235]",24916,2201,42,8.4,315,82,0,5,28,5,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"[875, 119, 44, 20, 107]",40743,5468,53,10.6,393,102,1,28,5,39,27,5,1,1,1,8,5,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0
