gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragnoType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragnoType,redDragon,redRiftHeralds
4667601010,Win,40010,3125,55,11.0,432,105,0,26,15,33,85,15,1,0,['TOP_LANE'],4,1,2,1,0,0,['EARTH_DRAGON'],1,1,Fail,30033,853,48,9.6,423,79,1,15,26,19,44,13,0,0,[],0,0,0,0,0,1,['WATER_DRAGON'],1,0
4666433276,Win,57439,5391,76,15.2,721,165,0,24,28,41,158,33,0,0,[],2,1,1,0,0,0,[],0,2,Fail,61806,3247,71,14.2,667,207,1,28,24,52,166,31,1,1,['BOT_LANE'],10,5,3,2,2,1,"['FIRE_DRAGON', 'EARTH_DRAGON', 'AIR_DRAGON', 'AIR_DRAGON']",4,0
4666262683,Win,36454,9526,56,11.2,466,135,1,14,11,18,40,13,1,1,['MID_LANE'],6,5,0,1,1,1,['WATER_DRAGON'],1,2,Fail,31156,1673,53,10.6,472,91,0,11,14,10,38,13,0,0,[],1,0,1,0,0,0,[],0,0
4666178940,Win,36831,2248,52,10.4,386,87,0,29,8,29,68,10,1,0,['MID_LANE'],3,1,1,1,0,1,['EARTH_DRAGON'],1,1,Fail,24705,4580,45,9.0,317,68,1,8,29,5,60,11,0,0,[],0,0,0,0,0,0,[],0,0
4666252180,Win,51129,4029,70,14.0,560,204,1,29,10,69,98,29,0,0,[],4,2,0,2,0,0,"['AIR_DRAGON', 'EARTH_DRAGON']",2,1,Fail,40152,2269,59,11.8,554,123,0,10,29,27,76,21,1,0,['TOP_LANE'],3,0,2,1,0,1,['FIRE_DRAGON'],1,1
4666144894,Win,50907,6207,68,13.6,603,124,1,30,21,42,67,49,0,0,[],2,2,0,0,0,1,"['FIRE_DRAGON', 'WATER_DRAGON']",2,1,Fail,46056,1666,62,12.4,593,144,0,21,30,39,100,24,1,0,['BOT_LANE'],3,0,1,2,0,0,['AIR_DRAGON'],1,1
4665412578,Fail,50629,3194,69,13.8,533,116,0,29,48,29,53,21,0,0,[],1,0,1,0,0,0,[],0,1,Win,61088,5363,77,15.4,539,160,1,48,29,74,56,17,1,1,['BOT_LANE'],10,5,2,3,1,1,"['EARTH_DRAGON', 'FIRE_DRAGON', 'AIR_DRAGON', 'AIR_DRAGON']",4,1
4665086284,Win,57490,5940,79,15.8,192,0,1,43,34,106,0,0,1,1,['MID_LANE'],3,3,0,0,2,0,[],0,0,Fail,50902,52,73,14.6,182,0,0,34,43,90,0,0,0,0,[],3,3,0,0,1,0,[],0,0
4664899276,Win,61638,9270,76,15.2,757,195,0,35,21,59,71,38,1,1,['MID_LANE'],8,5,1,2,2,1,"['FIRE_DRAGON', 'WATER_DRAGON', 'AIR_DRAGON']",3,2,Fail,49506,1908,70,14.0,578,157,1,21,35,33,79,19,0,0,[],3,0,2,1,0,0,[],0,0
4664639258,Win,36180,812,52,10.4,379,103,1,25,10,26,38,10,1,0,['TOP_LANE'],4,1,1,2,0,0,['WATER_DRAGON'],1,1,Fail,26547,905,45,9.0,377,66,0,10,25,4,35,7,0,0,[],1,0,1,0,0,1,['FIRE_DRAGON'],1,0
4664126988,Fail,24916,2201,42,8.4,315,82,0,5,28,5,27,5,0,0,[],0,0,0,0,0,0,[],0,0,Win,40743,5468,53,10.6,393,102,1,28,5,39,27,5,1,1,['TOP_LANE'],8,5,2,1,1,1,"['WATER_DRAGON', 'FIRE_DRAGON']",2,1
4664071468,Fail,50424,3577,67,13.4,735,162,1,17,23,14,68,41,1,0,['TOP_LANE'],3,1,1,1,0,0,[],0,2,Win,58157,1032,75,15.0,682,248,0,23,17,36,137,31,0,0,[],5,3,1,1,0,1,"['FIRE_DRAGON', 'AIR_DRAGON', 'EARTH_DRAGON', 'EARTH_DRAGON']",4,0
4663925652,Fail,53337,-2663,70,14.0,722,149,0,23,42,43,77,37,0,0,[],0,0,0,0,0,0,['EARTH_DRAGON'],1,0,Win,69431,7741,81,16.2,787,224,1,42,23,64,106,38,1,1,['TOP_LANE'],12,5,3,4,3,1,"['AIR_DRAGON', 'WATER_DRAGON']",2,2
4663033252,Fail,26160,2610,43,8.6,341,73,1,9,31,12,29,11,0,0,[],0,0,0,0,0,0,[],0,0,Win,38381,4848,52,10.4,410,115,0,31,9,40,59,8,1,0,['BOT_LANE'],3,2,0,1,0,1,['AIR_DRAGON'],1,1
4662765213,Fail,51720,3287,71,14.2,740,160,0,16,24,40,82,35,0,0,[],3,1,1,1,0,1,"['WATER_DRAGON', 'EARTH_DRAGON']",2,0,Win,60279,5021,76,15.2,789,193,1,24,16,36,71,33,1,1,['TOP_LANE'],8,3,3,2,2,0,"['FIRE_DRAGON', 'EARTH_DRAGON']",2,2
4662570948,Win,63819,8019,76,15.2,637,250,0,45,16,51,99,49,1,1,['BOT_LANE'],9,5,2,2,2,0,"['AIR_DRAGON', 'FIRE_DRAGON']",2,2,Fail,49137,2129,66,13.2,708,118,1,16,45,14,85,32,0,0,[],5,1,2,2,0,1,"['WATER_DRAGON', 'FIRE_DRAGON']",2,0
