blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
1,2936,436,6,1.2,11,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2882,382,6,1.2,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2950,450,6,1.2,13,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3353,853,6,1.2,6,4,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3314,814,6,1.2,4,3,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2696,196,5,1.0,4,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2818,318,6,1.2,6,4,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,3319,819,6,1.2,7,4,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2873,373,5,1.0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2833,333,6,1.2,6,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2922,422,6,1.2,12,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2917,417,7,1.4,12,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2738,238,6,1.2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3057,557,6,1.2,13,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9721,2121,20,4.0,8,0,1,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9901,2801,20,4.0,9,0,0,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2940,440,6,1.2,13,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2975,475,6,1.2,13,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3022,522,6,1.2,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2936,436,6,1.2,10,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2962,462,6,1.2,9,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2889,389,6,1.2,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2905,405,6,1.2,10,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3004,504,6,1.2,14,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2916,416,6,1.2,12,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2894,394,6,1.2,8,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3268,768,5,1.0,6,0,1,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4351,1851,6,1.2,0,3,0,4,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2929,429,6,1.2,10,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2903,403,6,1.2,10,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2861,361,6,1.2,8,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2875,375,6,1.2,8,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2918,418,6,1.2,6,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2875,375,6,1.2,10,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9517,2567,20,4.0,12,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9411,2661,20,4.0,12,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9463,2313,20,4.0,8,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9733,2483,20,4.0,17,0,1,2,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2852,377,6,1.2,3,4,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3310,810,6,1.2,9,0,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10264,3289,20,4.0,12,0,0,5,2,19,5,0,0,0,0,0,0,0,0,0,0,0,0,9746,1396,20,4.0,10,0,1,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9108,2358,20,4.0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9267,2292,20,4.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9893,2993,20,4.0,13,0,1,3,1,6,14,0,0,0,0,0,0,0,0,0,0,0,0,9295,1810,20,4.0,10,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9028,3178,20,4.0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9714,3014,20,4.0,10,0,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9171,2436,20,4.0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9029,2179,20,4.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8938,1988,20,4.0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10077,3077,20,4.0,16,0,1,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8979,2154,20,4.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9323,2773,20,4.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10029,3429,20,4.0,9,0,1,4,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,9340,2640,20,4.0,12,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9685,2460,20,4.0,11,0,0,3,3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,9884,2764,20,4.0,12,0,1,3,3,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9472,2437,20,4.0,6,0,1,2,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,9712,2337,23,4.6,18,0,0,2,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9050,2075,20,4.0,10,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10168,3423,20,4.0,18,0,1,3,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10136,2836,20,4.0,7,0,1,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9699,2599,20,4.0,11,0,0,3,4,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9493,2558,20,4.0,13,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9122,2122,20,4.0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
