gameId,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redWins,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,redBaron,redFirstBaron
4667601010,Win,"[22, 76, 133, 111, 4]",14671,2246,31,6.2,170,39,0,8,8,12,23,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[236, 84, 64, 89, 235]",14017,2197,29,5.8,178,28,1,8,8,9,13,1,0,0,[],0,0,0,0,0,1,['WATER_DRAGON'],1,0,0,0
4666433276,Win,"[54, 432, 104, 61, 51]",14777,3372,29,5.8,168,24,0,8,12,13,30,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[119, 3, 412, 5, 24]",16275,2840,30,6.0,168,35,1,12,8,17,34,4,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666262683,Win,"[517, 40, 876, 24, 81]",13000,3450,31,6.2,185,54,1,4,2,1,14,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[22, 120, 555, 38, 8]",11580,3630,28,5.6,162,39,0,2,4,2,10,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666252180,Win,"[201, 76, 84, 22, 875]",12139,2614,31,6.2,189,59,1,1,0,0,24,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[55, 64, 44, 164, 429]",11422,2547,30,6.0,190,44,0,0,1,0,16,3,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666144894,Win,"[58, 5, 517, 29, 497]",13539,1019,28,5.6,168,32,1,7,5,8,10,4,0,0,[],0,0,0,0,0,1,['FIRE_DRAGON'],1,0,0,0,Fail,"[64, 69, 875, 202, 133]",13710,2675,30,6.0,190,40,0,5,7,10,16,3,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4665412578,Fail,"[157, 84, 37, 360, 104]",11628,2898,29,5.8,138,32,0,4,7,1,10,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[81, 53, 74, 15, 56]",13925,3000,31,6.2,163,55,1,7,4,6,10,2,0,0,[],0,0,0,0,0,1,['EARTH_DRAGON'],1,0,0,0
4665086284,Win,"[517, 54, 555, 4, 111]",29214,4844,48,9.6,82,0,1,20,19,48,0,0,1,0,['MID_LANE'],1,1,0,0,0,0,[],0,0,0,0,Fail,"[113, 22, 122, 236, 53]",27590,4370,47,9.4,84,0,0,19,20,50,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4664899276,Win,"[29, 497, 876, 114, 39]",13767,1892,31,6.2,202,64,0,4,3,4,13,6,0,0,[],0,0,0,0,0,1,['FIRE_DRAGON'],1,0,0,0,Fail,"[40, 84, 119, 164, 28]",12913,2053,31,6.2,169,44,1,3,4,3,14,4,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4664639258,Win,"[117, 164, 104, 7, 22]",14781,5021,32,6.4,170,34,1,9,4,9,13,3,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[421, 69, 84, 236, 267]",11678,1718,28,5.6,153,36,0,4,9,0,12,0,0,0,[],0,0,0,0,0,1,['FIRE_DRAGON'],1,0,0,0
4664126988,Fail,"[104, 360, 3, 126, 235]",11886,1926,27,5.4,151,51,0,2,10,1,11,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[875, 119, 44, 20, 107]",15039,2894,31,6.2,155,28,1,10,2,16,11,1,0,0,[],0,0,0,0,0,1,['WATER_DRAGON'],1,0,0,0
4664071468,Fail,"[59, 117, 81, 164, 43]",13262,3037,29,5.8,164,44,1,6,4,5,12,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[114, 51, 76, 412, 236]",12897,3347,29,5.8,166,48,0,4,6,4,27,4,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4663925652,Fail,"[876, 126, 29, 13, 497]",12565,3375,29,5.8,172,34,0,4,6,7,12,5,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[39, 202, 104, 80, 38]",14615,4640,31,6.2,208,47,1,6,4,6,18,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0
