blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,26641,3781,42,8.4,301,56,0,16,13,20,54,7,1,0,1,1,0,1,0,0,0,0,1,0,0,22811,3061,40,8.0,308,52,1,13,16,17,27,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,22,76,133,111,4,236,84,64,89,235
1,23949,3744,40,8.0,302,62,0,10,14,15,55,5,0,0,0,0,0,0,0,0,0,0,1,0,0,25699,1969,40,8.0,308,67,1,14,10,21,62,8,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,54,432,104,61,51,119,3,412,5,24
1,22952,1904,42,8.4,318,98,1,7,8,4,22,3,1,0,2,1,1,0,0,0,0,0,1,0,0,21732,1432,43,8.6,324,64,0,8,7,7,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,40,876,24,81,22,120,555,38,8
1,22479,1954,44,8.8,343,98,1,5,1,5,43,10,0,0,0,1,0,0,1,0,0,0,0,0,0,20151,2231,41,8.2,328,79,0,1,5,1,33,8,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,201,76,84,22,875,55,64,44,164,429
1,22666,3243,42,8.4,325,64,1,10,10,10,26,14,0,0,0,0,0,0,0,0,1,2,1,0,0,24026,3206,44,8.8,348,72,0,10,10,19,39,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,58,5,517,29,497,64,69,875,202,133
0,23807,1827,45,9.0,261,56,0,13,14,6,21,4,0,0,0,1,0,1,0,0,0,0,1,0,0,24379,1494,44,8.8,280,71,1,14,13,14,22,3,1,0,3,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,157,84,37,360,104,81,53,74,15,56
1,48255,11680,69,13.8,155,0,1,33,27,79,0,0,1,1,2,3,3,0,0,1,0,0,0,0,0,41478,1963,63,12.6,141,0,0,27,33,74,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,54,555,4,111,113,22,122,236,53
1,24050,3750,43,8.6,361,83,0,8,6,7,26,17,1,0,2,1,1,0,0,0,1,1,1,0,0,21374,3599,41,8.2,292,72,1,6,8,7,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,497,876,114,39,40,84,119,164,28
1,27503,2315,47,9.4,322,69,1,18,8,19,31,8,1,0,1,1,0,1,0,0,0,1,1,0,0,20758,1783,40,8.0,299,60,0,8,18,2,23,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,117,164,104,7,22,421,69,84,236,267
0,20639,2934,39,7.8,283,81,0,4,21,3,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,31184,5165,45,9.0,319,67,1,21,4,28,24,3,1,0,1,3,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,104,360,3,126,235,875,119,44,20,107
0,22646,3598,42,8.4,322,72,1,10,9,8,21,8,0,0,0,0,0,0,0,0,0,0,1,0,0,22406,7031,41,8.2,307,72,0,9,10,6,44,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,59,117,81,164,43,114,51,76,412,236
0,22751,3886,42,8.4,304,61,0,10,16,13,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,26070,2520,45,9.0,338,84,1,16,10,16,37,6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,876,126,29,13,497,39,202,104,80,38
0,20231,1349,40,8.0,292,74,0,6,10,7,21,4,0,0,0,0,0,0,0,0,1,1,0,0,0,23978,3600,43,8.6,341,49,1,10,6,8,18,4,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,245,21,24,44,517,164,58,60,875,236
1,25055,655,43,8.6,285,82,0,14,9,11,32,9,1,0,3,1,0,0,1,0,0,0,1,0,0,22914,646,41,8.2,326,63,1,9,14,9,27,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,60,238,115,107,80,120,69,22,111,236
0,23126,2722,42,8.4,318,66,1,10,5,18,32,7,0,0,0,0,0,0,0,0,0,0,1,0,0,21398,2423,41,8.2,326,76,0,5,10,10,25,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,120,3,235,875,58,150,497,29,876,517
1,40669,5384,63,12.6,151,0,1,25,19,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39336,3346,62,12.4,147,0,0,19,25,52,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,43,55,80,37,4,31,9,235,134
1,36795,2660,60,12.0,116,0,0,31,22,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36537,5382,59,11.8,127,0,1,22,31,48,25,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,16,154,246,38,67,7,268,136,98
0,18350,2756,38,7.6,243,45,0,6,14,6,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24290,3725,42,8.4,291,57,1,14,6,16,34,8,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,875,99,350,245,51,54,202,99,517,59
0,40219,3434,63,12.6,131,0,0,27,28,77,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42778,4778,66,13.2,157,0,1,28,27,72,0,0,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,111,98,236,85,51,103,235,58,90
