gameId,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redWins,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,redBaron,redFirstBaron
4644246143,TBD,TBD,31091,3831,46,9.2,405,69,1,13,4,17,29,10,1,1,['TOP_LANE'],5,4,1,0,1,1,['FIRE_DRAGON'],1,1,0,0,TBD,TBD,20002,3877,38,7.6,261,62,0,4,13,6,33,7,0,0,[],1,0,0,1,0,0,[],0,0,0,0
4644025682,TBD,TBD,34291,1311,56,11.2,489,132,1,12,9,14,37,16,0,0,[],1,1,0,0,0,1,"['FIRE_DRAGON', 'EARTH_DRAGON']",2,1,0,0,TBD,TBD,32926,3858,53,10.6,470,77,0,9,12,10,44,15,1,0,['BOT_LANE'],3,0,1,2,0,0,[],0,1,0,0
4641792572,TBD,TBD,35496,2583,56,11.2,478,115,0,17,8,24,36,14,0,0,[],1,0,0,1,0,1,"['EARTH_DRAGON', 'WATER_DRAGON']",2,0,0,0,TBD,TBD,31734,3414,51,10.2,458,126,1,8,17,2,51,7,1,0,['TOP_LANE'],2,1,1,0,0,0,['FIRE_DRAGON'],1,2,0,0
4640729971,TBD,TBD,40413,4503,54,10.8,398,157,1,29,7,29,29,7,1,0,['BOT_LANE'],6,3,2,1,0,1,['FIRE_DRAGON'],1,1,0,0,TBD,TBD,22465,2195,41,8.2,213,42,0,7,29,12,32,6,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4638513516,TBD,TBD,39245,5192,55,11.0,440,146,0,21,14,26,70,14,1,0,['TOP_LANE'],2,1,1,0,0,0,"['EARTH_DRAGON', 'FIRE_DRAGON']",2,1,0,0,TBD,TBD,33244,3317,51,10.2,451,96,1,14,21,15,42,18,0,0,[],2,0,0,2,0,1,['AIR_DRAGON'],1,0,0,0
4638198000,TBD,TBD,35376,5637,54,10.8,479,104,0,13,10,26,61,17,1,0,['BOT_LANE'],1,0,0,1,0,0,['WATER_DRAGON'],1,1,0,0,TBD,TBD,33182,6027,53,10.6,478,144,1,10,13,12,45,17,0,0,[],3,1,1,1,0,1,['FIRE_DRAGON'],1,0,0,0
4637300082,TBD,TBD,41957,2712,56,11.2,470,111,1,25,21,29,47,21,1,0,['TOP_LANE'],4,2,2,0,0,0,[],0,2,0,0,TBD,TBD,39691,5776,56,11.2,530,87,0,21,25,20,61,24,0,0,[],3,1,1,1,0,1,['EARTH_DRAGON'],1,0,0,0
4636942829,TBD,TBD,34496,4728,57,11.4,436,79,0,19,22,22,92,16,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,40927,2570,57,11.4,488,128,1,22,19,24,140,14,1,0,['TOP_LANE'],3,1,1,1,0,1,"['FIRE_DRAGON', 'WATER_DRAGON']",2,1,0,0
4636459991,TBD,TBD,35515,3926,54,10.8,445,82,0,18,19,25,49,16,1,0,['TOP_LANE'],2,0,1,1,0,0,['AIR_DRAGON'],1,0,0,0,TBD,TBD,36941,5536,55,11.0,458,122,1,19,18,31,37,17,0,0,[],3,1,1,1,0,1,['FIRE_DRAGON'],1,2,0,0
4635210235,TBD,TBD,33288,3400,51,10.2,405,118,1,13,22,14,44,16,0,0,[],1,0,0,1,0,0,[],0,0,0,0,TBD,TBD,38192,6462,58,11.6,490,121,0,22,13,19,85,17,1,0,['MID_LANE'],3,1,1,1,0,1,"['WATER_DRAGON', 'EARTH_DRAGON']",2,1,0,0
4635124283,TBD,TBD,38582,4399,58,11.6,493,117,0,22,6,23,84,21,0,1,[],2,1,1,0,1,0,['AIR_DRAGON'],1,1,0,0,TBD,TBD,27551,1773,47,9.4,403,96,1,6,22,9,128,11,1,0,['MID_LANE'],3,2,0,1,0,1,['FIRE_DRAGON'],1,0,0,0
4662837348,TBD,TBD,21273,2353,40,8.0,251,75,0,8,17,8,21,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,33273,5983,48,9.6,347,105,1,17,8,13,49,8,1,1,['BOT_LANE'],9,5,1,3,2,1,['EARTH_DRAGON'],1,1,0,0
4661964402,TBD,TBD,31061,4086,53,10.6,367,146,0,12,8,16,95,15,0,0,[],1,0,1,0,0,1,['EARTH_DRAGON'],1,2,0,0,TBD,TBD,33670,1890,52,10.4,454,100,1,8,12,14,48,7,1,0,['BOT_LANE'],4,1,2,1,0,0,"['FIRE_DRAGON', 'AIR_DRAGON']",2,0,0,0
4661946544,TBD,TBD,38378,1883,57,11.4,420,166,1,19,6,27,87,16,1,0,['BOT_LANE'],3,1,1,1,0,0,['AIR_DRAGON'],1,2,0,0,TBD,TBD,27538,2185,52,10.4,438,76,0,6,19,7,59,12,0,0,[],1,0,0,1,0,1,"['EARTH_DRAGON', 'FIRE_DRAGON']",2,0,0,0
4654298470,TBD,TBD,44837,3020,57,11.4,531,117,0,27,17,31,39,17,0,0,[],2,1,0,1,0,0,['FIRE_DRAGON'],1,0,0,0,TBD,TBD,35025,4060,51,10.2,418,90,1,17,27,29,95,9,1,0,['TOP_LANE'],4,1,1,2,0,1,['WATER_DRAGON'],1,1,0,0
4653120490,TBD,TBD,39925,3656,58,11.6,517,150,1,19,16,28,93,23,1,0,['BOT_LANE'],2,0,1,1,0,1,"['FIRE_DRAGON', 'EARTH_DRAGON']",2,1,0,0,TBD,TBD,36258,2813,55,11.0,470,101,0,16,19,15,49,22,0,0,[],3,1,1,1,0,0,[],0,1,0,0
4652928953,TBD,TBD,41444,4178,58,11.6,453,151,0,24,12,32,31,7,0,0,[],5,2,2,1,0,1,['WATER_DRAGON'],1,1,0,0,TBD,TBD,31499,1849,52,10.4,425,92,1,12,24,14,121,8,1,0,['TOP_LANE'],1,0,1,0,0,0,['FIRE_DRAGON'],1,1,0,0
4646562222,TBD,TBD,33911,1213,52,10.4,456,114,1,12,9,23,73,31,0,0,[],1,0,1,0,0,0,['FIRE_DRAGON'],1,0,0,0,TBD,TBD,31869,1914,50,10.0,393,106,0,9,12,20,66,17,1,0,['BOT_LANE'],4,1,0,3,0,1,['EARTH_DRAGON'],1,2,0,0
4646207591,TBD,TBD,40764,4774,57,11.4,448,135,0,26,10,27,37,13,1,0,['TOP_LANE'],3,2,1,0,0,1,"['EARTH_DRAGON', 'AIR_DRAGON']",2,2,0,0,TBD,TBD,32751,4256,49,9.8,412,75,1,10,26,25,44,13,0,1,[],3,1,0,2,1,0,[],0,0,0,0
4638378791,TBD,TBD,39164,5746,58,11.6,532,121,1,18,15,16,87,13,1,0,['MID_LANE'],2,1,1,0,0,0,['AIR_DRAGON'],1,1,0,0,TBD,TBD,35137,2718,52,10.4,470,88,0,15,18,23,49,13,0,0,[],3,1,1,1,0,1,['WATER_DRAGON'],1,0,0,0
4638373062,TBD,TBD,35816,4311,56,11.2,464,112,0,15,7,29,88,21,0,0,[],1,1,0,0,0,1,"['AIR_DRAGON', 'FIRE_DRAGON']",2,0,0,0,TBD,TBD,32418,1888,53,10.6,450,131,1,7,15,5,129,17,1,0,['TOP_LANE'],3,0,2,1,0,0,[],0,2,0,0
4638246967,TBD,TBD,38272,2629,51,10.2,400,111,1,25,11,32,116,14,1,1,['TOP_LANE'],5,3,1,1,1,0,['WATER_DRAGON'],1,1,0,0,TBD,TBD,27525,880,46,9.2,356,61,0,11,25,19,82,13,0,0,[],1,0,1,0,0,1,['FIRE_DRAGON'],1,0,0,0
4636759537,TBD,TBD,37143,3203,56,11.2,467,119,1,18,14,24,36,16,1,0,['TOP_LANE'],1,0,1,0,0,0,[],0,2,0,0,TBD,TBD,34034,2219,53,10.6,463,113,0,14,18,14,42,10,0,0,[],4,1,1,2,0,1,"['EARTH_DRAGON', 'AIR_DRAGON']",2,0,0,0
4635065470,TBD,TBD,34179,2923,52,10.4,391,71,1,16,39,20,38,11,0,0,[],1,0,1,0,0,0,[],0,0,0,0,TBD,TBD,46389,7180,59,11.8,468,137,0,39,16,54,78,19,1,0,['MID_LANE'],4,1,1,2,0,1,"['AIR_DRAGON', 'EARTH_DRAGON', 'FIRE_DRAGON']",3,1,0,0
4632943528,TBD,TBD,40947,6264,59,11.8,452,112,1,31,12,36,39,18,0,1,[],4,3,0,1,1,1,"['FIRE_DRAGON', 'EARTH_DRAGON']",2,1,0,0,TBD,TBD,32078,2393,50,10.0,426,90,0,12,31,12,37,18,1,0,['BOT_LANE'],2,0,1,1,0,0,[],0,1,0,0
4609516045,TBD,TBD,38673,5703,56,11.2,464,114,1,20,20,40,125,15,1,0,['MID_LANE'],2,1,0,1,0,0,"['EARTH_DRAGON', 'FIRE_DRAGON']",2,0,0,0,TBD,TBD,37222,5544,55,11.0,474,137,0,20,20,24,38,20,0,0,[],1,0,1,0,0,1,['WATER_DRAGON'],1,2,0,0
