gameId,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redWins,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,redBaron,redFirstBaron
4667601010,TBD,TBD,14671,2246,31,6.2,170,39,0,8,8,12,23,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,14017,2197,29,5.8,178,28,1,8,8,9,13,1,0,0,[],0,0,0,0,0,1,['WATER_DRAGON'],1,0,0,0
4666433276,TBD,TBD,14777,3372,29,5.8,168,24,0,8,12,13,30,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,16275,2840,30,6.0,168,35,1,12,8,17,34,4,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666262683,TBD,TBD,13000,3450,31,6.2,185,54,1,4,2,1,14,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,11580,3630,28,5.6,162,39,0,2,4,2,10,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666178940,TBD,TBD,14861,2131,30,6.0,172,32,0,9,4,8,30,4,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,11879,2934,27,5.4,147,36,1,4,9,1,29,3,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666252180,TBD,TBD,12139,2614,31,6.2,189,59,1,1,0,0,24,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,11422,2547,30,6.0,190,44,0,0,1,0,16,3,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666144894,TBD,TBD,13539,1019,28,5.6,168,32,1,7,5,8,10,4,0,0,[],0,0,0,0,0,1,['FIRE_DRAGON'],1,0,0,0,TBD,TBD,13710,2675,30,6.0,190,40,0,5,7,10,16,3,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4665412578,TBD,TBD,11628,2898,29,5.8,138,32,0,4,7,1,10,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,13925,3000,31,6.2,163,55,1,7,4,6,10,2,0,0,[],0,0,0,0,0,1,['EARTH_DRAGON'],1,0,0,0
4665086284,TBD,TBD,29214,4844,48,9.6,82,0,1,20,19,48,0,0,1,0,['MID_LANE'],1,1,0,0,0,0,[],0,0,0,0,TBD,TBD,27590,4370,47,9.4,84,0,0,19,20,50,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4664899276,TBD,TBD,13767,1892,31,6.2,202,64,0,4,3,4,13,6,0,0,[],0,0,0,0,0,1,['FIRE_DRAGON'],1,0,0,0,TBD,TBD,12913,2053,31,6.2,169,44,1,3,4,3,14,4,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4664639258,TBD,TBD,14781,5021,32,6.4,170,34,1,9,4,9,13,3,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,11678,1718,28,5.6,153,36,0,4,9,0,12,0,0,0,[],0,0,0,0,0,1,['FIRE_DRAGON'],1,0,0,0
4664126988,TBD,TBD,11886,1926,27,5.4,151,51,0,2,10,1,11,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,15039,2894,31,6.2,155,28,1,10,2,16,11,1,0,0,[],0,0,0,0,0,1,['WATER_DRAGON'],1,0,0,0
4664071468,TBD,TBD,13262,3037,29,5.8,164,44,1,6,4,5,12,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,12897,3347,29,5.8,166,48,0,4,6,4,27,4,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4663925652,TBD,TBD,12565,3375,29,5.8,172,34,0,4,6,7,12,5,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,14615,4640,31,6.2,208,47,1,6,4,6,18,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4663033252,TBD,TBD,12625,2925,27,5.4,148,36,1,4,17,5,12,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,18591,5236,31,6.2,178,47,0,17,4,28,21,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4662765213,TBD,TBD,12156,894,29,5.8,177,42,0,3,6,3,13,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,13580,1595,30,6.0,176,37,1,6,3,4,8,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4662570948,TBD,TBD,14667,2462,31,6.2,167,41,0,9,4,9,13,4,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,13345,2035,29,5.8,176,44,1,4,9,5,13,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4662462856,TBD,TBD,14403,3698,31,6.2,164,39,1,7,5,14,15,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,13619,2954,30,6.0,172,40,0,5,7,10,13,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4658198356,TBD,TBD,25327,4317,45,9.0,85,0,1,12,9,35,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,25074,5564,45,9.0,84,0,0,9,12,22,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4658185836,TBD,TBD,28045,7245,50,10.0,85,0,0,23,12,63,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,26629,2944,45,9.0,95,0,1,12,23,29,18,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4658108047,TBD,TBD,11892,4135,27,5.4,133,28,0,5,8,5,11,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,13798,2218,28,5.6,149,20,1,8,5,10,17,3,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4658028049,TBD,TBD,26434,3009,48,9.6,71,0,0,18,14,52,28,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,27224,4149,47,9.4,88,0,1,14,18,29,0,0,1,0,['MID_LANE'],1,1,0,0,0,0,[],0,0,0,0
4658052759,TBD,TBD,25636,6236,45,9.0,77,0,1,12,12,37,15,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,25282,4222,46,9.2,76,0,0,12,12,35,0,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4657443358,TBD,TBD,29775,5315,51,10.2,94,0,1,27,16,70,59,0,1,0,['MID_LANE'],1,1,0,0,0,0,[],0,0,0,0,TBD,TBD,26616,5231,47,9.4,65,0,0,16,27,33,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4657318146,TBD,TBD,24313,6463,43,8.6,74,0,0,10,17,20,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,26449,5249,48,9.6,72,0,1,17,10,52,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4655481115,TBD,TBD,25594,1909,46,9.2,74,0,0,14,19,36,23,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,TBD,TBD,27442,4387,49,9.8,81,0,1,19,14,55,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
