gameId,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redWins,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,redBaron,redFirstBaron
4667601010,Win,"[22, 76, 133, 111, 4]",40010,3125,55,11.0,432,105,0,26,15,33,85,15,1,0,['TOP_LANE'],4,1,2,1,0,0,['EARTH_DRAGON'],1,1,0,0,Fail,"[236, 84, 64, 89, 235]",30033,853,48,9.6,423,79,1,15,26,19,44,13,0,0,[],0,0,0,0,0,1,['WATER_DRAGON'],1,0,0,0
4666433276,Win,"[54, 432, 104, 61, 51]",42575,3785,61,12.2,562,140,0,16,26,27,119,20,0,0,[],2,1,1,0,0,0,[],0,2,0,0,Fail,"[119, 3, 412, 5, 24]",50923,3257,66,13.2,576,150,1,26,16,47,122,22,1,0,['BOT_LANE'],4,2,1,1,0,1,"['FIRE_DRAGON', 'EARTH_DRAGON', 'AIR_DRAGON']",3,0,1,1
4666262683,Win,"[517, 40, 876, 24, 81]",36454,9526,56,11.2,466,135,1,14,11,18,40,13,1,1,['MID_LANE'],6,5,0,1,1,1,['WATER_DRAGON'],1,2,0,0,Fail,"[22, 120, 555, 38, 8]",31156,1673,53,10.6,472,91,0,11,14,10,38,13,0,0,[],1,0,1,0,0,0,[],0,0,0,0
4666252180,Win,"[201, 76, 84, 22, 875]",45916,4716,65,13.0,535,183,1,25,10,57,89,28,0,0,[],4,2,0,2,0,0,"['AIR_DRAGON', 'EARTH_DRAGON']",2,1,0,0,Fail,"[55, 64, 44, 164, 429]",37357,2794,58,11.6,518,111,0,10,25,27,69,19,1,0,['TOP_LANE'],2,0,2,0,0,1,['FIRE_DRAGON'],1,1,0,0
4666144894,Win,"[58, 5, 517, 29, 497]",44393,4246,62,12.4,581,116,1,24,20,34,63,42,0,0,[],1,1,0,0,0,1,"['FIRE_DRAGON', 'WATER_DRAGON']",2,1,0,0,Fail,"[64, 69, 875, 202, 133]",44304,2519,61,12.2,592,144,0,20,24,37,92,23,1,0,['BOT_LANE'],3,0,1,2,0,0,['AIR_DRAGON'],1,1,0,0
4665412578,Fail,"[157, 84, 37, 360, 104]",43508,4864,64,12.8,461,108,0,25,36,24,46,17,0,0,[],1,0,1,0,0,0,[],0,1,0,0,Win,"[81, 53, 74, 15, 56]",49863,4428,69,13.8,480,117,1,36,25,53,47,12,1,0,['BOT_LANE'],7,3,2,2,0,1,"['EARTH_DRAGON', 'FIRE_DRAGON', 'AIR_DRAGON']",3,1,1,1
4665086284,Win,"[517, 54, 555, 4, 111]",57490,5940,79,15.8,192,0,1,43,34,106,0,0,1,1,['MID_LANE'],3,3,0,0,2,0,[],0,0,0,0,Fail,"[113, 22, 122, 236, 53]",50902,52,73,14.6,182,0,0,34,43,90,0,0,0,0,[],3,3,0,0,1,0,[],0,0,0,0
4664899276,Win,"[29, 497, 876, 114, 39]",48469,2842,65,13.0,642,150,0,23,19,33,59,30,1,0,['MID_LANE'],4,2,0,2,0,1,"['FIRE_DRAGON', 'WATER_DRAGON']",2,2,0,0,Fail,"[40, 84, 119, 164, 28]",41588,2660,62,12.4,508,135,1,19,23,32,65,15,0,0,[],3,0,2,1,0,0,[],0,0,0,0
4664639258,Win,"[117, 164, 104, 7, 22]",36180,812,52,10.4,379,103,1,25,10,26,38,10,1,0,['TOP_LANE'],4,1,1,2,0,0,['WATER_DRAGON'],1,1,0,0,Fail,"[421, 69, 84, 236, 267]",26547,905,45,9.0,377,66,0,10,25,4,35,7,0,0,[],1,0,1,0,0,1,['FIRE_DRAGON'],1,0,0,0
4664126988,Fail,"[104, 360, 3, 126, 235]",24916,2201,42,8.4,315,82,0,5,28,5,27,5,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[875, 119, 44, 20, 107]",40743,5468,53,10.6,393,102,1,28,5,39,27,5,1,1,['TOP_LANE'],8,5,2,1,1,1,"['WATER_DRAGON', 'FIRE_DRAGON']",2,1,0,0
